"Date","Time","CO(GT)","PT08.S1(CO)","NMHC(GT)","C6H6(GT)","PT08.S2(NMHC)","NOx(GT)","PT08.S3(NOx)","NO2(GT)","PT08.S4(NO2)","PT08.S5(O3)","T","RH","AH"
"1/1/2005","0:00:00","-200","1046","-200","4.2","724","-200","848","-200","898","1201","8.2","40.1","0.4375"
"1/1/2005","1:00:00","1.6","1274","-200","8.8","930","215","648","106","1024","1617","5.3","50.7","0.4564"
"1/1/2005","2:00:00","2.5","1173","-200","7.5","878","300","738","129","1002","1355","5.9","50.0","0.4689"
"1/1/2005","3:00:00","2.7","1162","-200","7.6","881","-200","748","-200","1001","1296","4.9","53.9","0.4693"
"1/1/2005","4:00:00","1.9","1054","-200","5.6","791","253","830","126","966","1131","4.3","55.3","0.4650"
"1/1/2005","5:00:00","1.4","1004","-200","4.8","753","181","879","106","942","1036","4.2","57.1","0.4759"
"1/1/2005","6:00:00","1.5","1001","-200","5.3","777","171","859","99","954","1009","3.5","58.3","0.4636"
"1/1/2005","7:00:00","1.4","974","-200","4.5","736","168","888","97","944","966","3.0","60.7","0.4667"
"1/1/2005","8:00:00","1.1","915","-200","3.0","653","169","973","94","904","901","2.6","63.2","0.4721"
"1/1/2005","9:00:00","1.0","939","-200","3.0","649","145","996","86","897","879","3.9","59.0","0.4807"
"1/1/2005","10:00:00","1.2","973","-200","4.7","748","190","878","97","968","990","4.7","57.2","0.4932"
"1/1/2005","11:00:00","1.7","1011","-200","5.4","782","224","846","113","992","1019","6.8","48.6","0.4822"
"1/1/2005","12:00:00","2.3","1096","-200","7.4","875","261","778","125","1080","1150","8.6","43.6","0.4887"
"1/1/2005","13:00:00","2.2","1148","-200","8.4","914","382","742","147","1072","1242","9.5","41.2","0.4908"
"1/1/2005","14:00:00","2.4","1117","-200","8.9","934","357","720","153","1075","1206","10.9","35.9","0.4680"
"1/1/2005","15:00:00","2.2","1085","-200","7.9","896","299","760","147","1049","1138","12.5","32.3","0.4670"
"1/1/2005","16:00:00","2.1","1102","-200","7.7","885","312","772","139","1051","1142","12.8","32.6","0.4814"
"1/1/2005","17:00:00","3.0","1281","-200","12.1","1052","510","659","165","1192","1438","10.9","39.7","0.5166"
"1/1/2005","18:00:00","4.7","1472","-200","16.6","1198","832","555","191","1344","1735","9.0","51.8","0.5961"
"1/1/2005","19:00:00","3.6","1328","-200","11.4","1029","622","636","172","1188","1611","8.1","54.1","0.5882"
"1/1/2005","20:00:00","2.5","1198","-200","7.9","897","402","720","151","1072","1436","7.8","54.6","0.5786"
"1/1/2005","21:00:00","2.3","1176","-200","8.1","905","334","718","137","1104","1389","6.2","59.6","0.5698"
"1/1/2005","22:00:00","2.1","1118","-200","6.4","830","295","765","130","1058","1313","5.7","59.9","0.5523"
